ADJACÊNCIA	PESO
9 -> 1 		 83
49 -> 2 		 18
30 -> 3 		 56
39 -> 4 		 88
19 -> 5 		 86
41 -> 6 		 95
12 -> 7 		 83
28 -> 8 		 48
47 -> 9 		 11
44 -> 10 		 27
40 -> 11 		 82
0 -> 12 		 68
7 -> 13 		 89
29 -> 14 		 74
31 -> 15 		 70
35 -> 16 		 96
40 -> 17 		 74
40 -> 18 		 31
27 -> 19 		 81
33 -> 20 		 53
40 -> 21 		 33
18 -> 22 		 7
15 -> 23 		 85
36 -> 24 		 63
30 -> 25 		 15
42 -> 26 		 34
12 -> 27 		 63
10 -> 28 		 73
42 -> 29 		 94
32 -> 30 		 31
40 -> 31 		 16
4 -> 32 		 5
10 -> 33 		 33
11 -> 34 		 22
21 -> 35 		 30
19 -> 36 		 57
21 -> 37 		 54
15 -> 38 		 34
33 -> 39 		 54
41 -> 40 		 8
19 -> 41 		 73
28 -> 42 		 99
37 -> 43 		 55
35 -> 44 		 17
9 -> 45 		 14
17 -> 46 		 13
19 -> 47 		 18
10 -> 48 		 15
15 -> 49 		 67
